x:202.6875; y:66.21875; z:137.48157303370786
x:192.21875; y:215.8125; z:142.74866666666668
x:164.40625; y:174.875; z:146.20666666666665
x:207.66666666666666; y:89.20833333333333; z:149.38756756756757
x:176.90625; y:166.59375; z:164.63678160919542
x:146.71875; y:20.4375; z:164.66863636363635
x:136.21875; y:66.0625; z:170.06659090909093
x:156.58333333333334; y:76.16666666666667; z:174.6721052631579
x:81.83333333333333; y:118.16666666666667; z:196.53605263157894
